atom_id,molecule_id,element,type,charge
d100_1,d100,c,22,-0.128
d100_10,d100,h,3,0.132
d100_11,d100,c,29,0.002
d100_12,d100,c,22,-0.128
d100_13,d100,c,22,-0.128
d100_14,d100,c,22,-0.128
d100_15,d100,c,22,0.202
d100_16,d100,c,22,-0.128
d100_17,d100,h,3,0.132
d100_18,d100,h,3,0.132
d100_19,d100,h,3,0.132
d100_2,d100,c,22,-0.128
d100_20,d100,h,3,0.132
d100_21,d100,n,32,-0.779
d100_22,d100,n,38,0.801
d100_23,d100,o,40,-0.398
d100_24,d100,o,40,-0.398
d100_25,d100,h,1,0.332
d100_26,d100,h,1,0.332
d100_3,d100,c,22,-0.128
d100_4,d100,c,29,0.002
d100_5,d100,c,22,-0.128
d100_6,d100,c,22,-0.128
d100_7,d100,h,3,0.132
d100_8,d100,h,3,0.132
d100_9,d100,h,3,0.132
d101_1,d101,c,22,-0.121
d101_10,d101,c,27,-0.091
d101_11,d101,c,27,0.009
d101_12,d101,c,22,0.009
d101_13,d101,c,22,0.009
d101_14,d101,c,22,-0.121
d101_15,d101,c,22,-0.121
d101_16,d101,c,22,-0.122
d101_17,d101,c,10,-0.091
d101_18,d101,c,10,-0.091
d101_19,d101,c,10,-0.091
d101_2,d101,c,22,-0.121
d101_20,d101,c,10,-0.091
d101_21,d101,n,38,0.808
d101_22,d101,o,40,-0.392
d101_23,d101,o,40,-0.392
d101_24,d101,h,3,0.138
d101_25,d101,h,3,0.138
d101_26,d101,h,3,0.138
d101_27,d101,h,3,0.138
d101_28,d101,h,3,0.138
d101_29,d101,h,3,0.138
d101_3,d101,c,27,0.009
d101_30,d101,h,3,0.138
d101_31,d101,h,3,0.059
d101_32,d101,h,3,0.059
d101_33,d101,h,3,0.059
d101_34,d101,h,3,0.059
d101_35,d101,h,3,0.059
d101_36,d101,h,3,0.059
d101_37,d101,h,3,0.059
d101_38,d101,h,3,0.059
d101_4,d101,c,27,-0.091
d101_5,d101,c,27,0.009
d101_6,d101,c,22,-0.122
d101_7,d101,c,22,-0.121
d101_8,d101,c,22,-0.121
d101_9,d101,c,27,0.009
d102_1,d102,c,22,-0.119
d102_10,d102,c,22,-0.119
d102_11,d102,c,22,-0.119
d102_12,d102,c,22,-0.119
d102_13,d102,c,22,-0.119
d102_14,d102,c,29,0.011
d102_15,d102,h,3,0.141
d102_16,d102,h,3,0.141
d102_17,d102,c,14,0.56
d102_18,d102,o,40,-0.54
d102_19,d102,n,38,0.81
d102_2,d102,c,22,-0.119
d102_20,d102,n,38,0.81
d102_21,d102,n,38,0.81
d102_22,d102,n,38,0.81
d102_23,d102,o,40,-0.39
d102_24,d102,o,40,-0.389
d102_25,d102,o,40,-0.389
d102_26,d102,o,40,-0.389
